X,Y,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.7649712558522,-33.442282588075,"9176 SAN PABLO, PUDAHUEL",1,0,0,0,1
-70.7657058245125,-33.509789870968,"CAMINO A RINCONADA & GENERAL LAS HERAS, MAIPU",0,0,0,2,1
-70.7646299779281,-33.4588896441946,"LAGUNA SUR & AMERICO VESPUCIO, PUDAHUEL",0,1,0,2,1
-70.7641171499494,-33.4420692937026,"FEDERICO ERRAZURIZ & SAN PABLO, PUDAHUEL",0,0,0,1,1
-70.7636974438452,-33.4441854876611,"FEDERICO ERRAZURIZ & AURORA, PUDAHUEL",0,0,0,1,1
-70.764744669094,-33.5091091877815,"SAN MARTIN & CHACABUCO, MAIPU",0,0,0,2,1
-70.7650022926156,-33.5281514102763,"ALFREDO SILVA CARVALLO & ELISEO, MAIPU",0,0,0,1,1
-70.7633072223238,-33.4451018610081,"FEDERICO ERRAZURIZ & LUCERO, PUDAHUEL",0,0,0,1,1
-70.7630768560928,-33.435311536066,"FEDERICO ERRAZURIZ & SAN AGUSTIN, PUDAHUEL",0,0,0,1,1
-70.764269970382,-33.496328477239,"GENERAL BUERAS & GENERAL JOSE SAN MARTIN, MAIPU",0,0,0,1,1
-70.7653128547358,-33.5497809599935,"1361 4 PONIENTE, MAIPU",0,0,0,1,1
-70.7641885866363,-33.4986833268732,"SAN MARTIN & ARGENTINA, MAIPU",0,0,0,1,1
-70.7629984654409,-33.4457916235775,"FEDERICO ERRAZURIZ & CREPUSCULO, PUDAHUEL",0,0,0,0,1
-70.7640990337222,-33.5016966036285,"SAN MARTIN & LIBERTADOR BERNARDO O`HIGGINS, MAIPU",0,0,0,2,1
-70.7631379667534,-33.4633116721941,"LOS MARES & AMERICO VESPUCIO, PUDAHUEL",0,0,1,0,1
-70.7621167485196,-33.4303832877764,"SAN DANIEL & FEDERICO ERRAZURIZ, PUDAHUEL",0,1,0,0,1
-70.762281242286,-33.4480924041595,"GENERAL OSCAR BONILLA & FEDERICO ERRAZURIZ, PUDAHUEL",0,1,0,0,1
-70.7626155054745,-33.4890474653193,"LA SINFONIA & PRESIDENTE JORGE ALESSANDRI RODRIGUEZ, MAIPU",0,0,0,1,1
-70.7616245219969,-33.4539183728606,"8767 LA TRAVESIA, PUDAHUEL",0,0,0,0,1
-70.7620356322182,-33.5013291830752,"HERMANOS CARRERA & O`HIGGINS, MAIPU",0,0,0,1,1
-70.7618300448185,-33.505525462672,"LIBERTAD & HERMANOS CARRERA, MAIPU",0,0,0,1,1
-70.7601856029798,-33.4274257355802,"9053 JOSE JOAQUIN PEREZ, CERRO NAVIA",0,0,1,0,1
-70.7603597316009,-33.4424383358807,"9015 SAN PABLO, PUDAHUEL",0,0,1,0,1
-70.7603305889209,-33.4585630067889,"ISLA GRANDE DE TIERRA DEL FUEGO & LAGUNA SUR, PUDAHUEL",0,0,0,1,1
-70.7590744647091,-33.4149965501582,"1765 DIAGONAL RENY, CERRO NAVIA",0,0,0,1,1
-70.7602981059312,-33.4963218566986,"MANUEL RODRIGUEZ & GENERAL BUERAS, MAIPU",0,0,0,1,1
-70.760014664714,-33.5078418362045,"GENERAL ORDONEZ & MANUEL RODRIGUEZ, MAIPU",0,0,0,1,1
-70.7599109424673,-33.5117571062215,"CARMEN LUISA CORREA & MANUEL RODRIGUEZ, MAIPU",0,1,0,0,1
-70.7584739287017,-33.4444039806506,"AURORA & RIVADAVIA, PUDAHUEL",0,0,1,0,1
-70.7599668041925,-33.5293954207692,"CAMINO A MELIPILLA & LEOPOLDO INFANTE, MAIPU",1,0,0,0,1
-70.7573021194238,-33.4177631752661,"1694 DIAGONAL RENY, CERRO NAVIA",0,1,0,0,1
-70.7574677130176,-33.4313150039038,"8952 SAN DANIEL, PUDAHUEL",1,0,0,0,1
-70.7579417033936,-33.4590748682179,"LAGUNA SUR & LITORAL, PUDAHUEL",0,0,0,1,1
-70.7587925584731,-33.5080936640389,"2079 MONUMENTO, MAIPU",0,0,0,2,1
-70.7588334276381,-33.510645168049,"5 DE ABRIL & MONUMENTO, MAIPU",0,0,0,1,1
-70.7588237601664,-33.5106994131272,"98 5 DE ABRIL, MAIPU",0,1,0,0,1
-70.7563428182467,-33.4144490879192,"LA CAPILLA & EL ARROYO, CERRO NAVIA",0,1,0,0,1
-70.7576072914765,-33.4952598705518,"3480 LOS PAJARITOS, MAIPU",0,0,0,1,1
-70.7574580465459,-33.4985264986195,"ARGENTINA & LOS PAJARITOS, MAIPU",0,0,0,1,1
-70.7573555928303,-33.4961201502502,"LOS PAJARITOS & RAFAEL RIESCO BERNALES, MAIPU",0,0,1,1,1
-70.7573560058419,-33.5035960509683,"LOS PAJARITOS & CHILE, MAIPU",0,0,0,1,1
-70.7572774334721,-33.5013065992937,"2897 LOS PAJARITOS, MAIPU",0,0,0,1,1
